Sku_Code,Item_Number,Item_Name,Sales_Price,Product_Group,Business_Area,Dns,Item,Color_Code,Size,Procurement_Group,Color_Name,Color_Code,Heel_Type,Occasion,Shoe_Type,Description
118-10001-33-10,118-10001-091,118-10001 Y-33-YELLOW_10_A,1995,US,OTR,118,10001,33,10,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-11,118-10001-092,118-10001 Y-33-YELLOW_11_A,1995,US,OTR,118,10001,33,11,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-12,118-10001-093,118-10001 Y-33-YELLOW_12_A,1995,US,OTR,118,10001,33,12,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-13,118-10001-094,118-10001 Y-33-YELLOW_13_A,1995,US,OTR,118,10001,33,13,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-14,118-10001-095,118-10001 Y-33-YELLOW_14_A,1995,US,OTR,118,10001,33,14,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-15,118-10001-096,118-10001 Y-33-YELLOW_15_A,1995,US,OTR,118,10001,33,15,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-16,118-10001-097,118-10001 Y-33-YELLOW_16_A,1995,US,OTR,118,10001,33,16,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-17,118-10001-098,118-10001 Y-33-YELLOW_17_A,1995,US,OTR,118,10001,33,17,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-4,118-10001-099,118-10001 Y-33-YELLOW_4_A,1995,US,OTR,118,10001,33,4,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-5,118-10001-100,118-10001 Y-33-YELLOW_5_A,1995,US,OTR,118,10001,33,5,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-6,118-10001-101,118-10001 Y-33-YELLOW_6_A,1995,US,OTR,118,10001,33,6,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
